startHoleTime,AveRotPressure,drilledMeters,rigSerial,endHoleTime,AvePenetrRate,status,AveDampPressure,AveFlushPressure,reDrillStatus,holeID,Software,currentShift,AvePercPressure,AveFeedPressure
09/02/2025 21:39,51.89744262295082,6.377,0,09/02/2025 21:43,1.7524426229508197,Success,0,18.32434426229508,0,585,6.28.1,2025-02-09 N,18.32434426229508,48.32003278688524
09/02/2025 21:54,52.15855,6.204,0,09/02/2025 21:58,1.4734166666666666,Success,0,17.8785,0,587,6.28.1,2025-02-09 N,17.8785,47.85735
09/02/2025 22:02,50.51775,6.203,0,09/02/2025 22:08,1.6055666666666668,Success,0,17.604750000000003,0,588,6.28.1,2025-02-09 N,17.604750000000003,47.18546666666667
09/02/2025 22:11,51.15913333333333,6.223,0,09/02/2025 22:15,1.7144333333333333,Success,0,17.75475,0,589,6.28.1,2025-02-09 N,17.75475,47.57486666666667
09/02/2025 22:27,61.01543103448276,6.064,0,09/02/2025 22:57,1.7601724137931034,Success,0,17.73801724137931,0,591,6.28.1,2025-02-09 N,17.73801724137931,49.19501724137931
09/02/2025 23:07,61.15643859649123,6.105,0,09/02/2025 23:10,3.277105263157895,Success,0,17.21263157894737,0,593,6.28.1,2025-02-09 N,17.21263157894737,43.965245614035084
09/02/2025 23:13,60.205241379310344,6.138,0,09/02/2025 23:16,3.158896551724138,Success,0,17.658879310344826,0,594,6.28.1,2025-02-09 N,17.658879310344826,46.25889655172414
09/02/2025 23:19,60.52957894736842,6.07,0,09/02/2025 23:22,2.935403509,Success,0,18.154473684210526,0,595,6.28.1,2025-02-09 N,18.154473684210526,45.89219298245614
09/02/2025 23:32,61.49761403508772,6.033,0,09/02/2025 23:35,2.674982456140351,Success,0,18.370789473684212,0,596,6.28.1,2025-02-09 N,18.370789473684212,45.77057894736842
09/02/2025 23:39,61.25322807017544,6.084,0,09/02/2025 23:41,2.6577894736842107,Success,0,17.522368421052633,0,597,6.28.1,2025-02-09 N,17.522368421052633,43.93898245614035
09/02/2025 23:45,62.56608620689655,6.102,0,09/02/2025 23:48,2.3137931034482757,Success,0,17.94853448275862,0,598,6.28.1,2025-02-09 N,17.94853448275862,44.32568965517241
09/02/2025 23:54,61.65548387096774,6.411,0,10/02/2025 00:00,1.5148064516129034,Success,0,18.121451612903225,0,599,6.28.1,2025-02-09 N,18.121451612903225,44.028129032258065
10/02/2025 00:39,47.88636065573771,6.362,0,10/02/2025 00:50,1.7050655737704918,Success,0,17.08573770491803,0,600,6.28.1,2025-02-09 N,17.08573770491803,46.777901639344265
10/02/2025 00:57,60.198,6.187,0,10/02/2025 01:01,1.74335,Success,0,18.856749999999998,0,601,6.28.1,2025-02-09 N,18.856749999999998,44.89723333333333
10/02/2025 01:05,59.07871186440678,6.211,0,10/02/2025 01:08,2.6799491525423726,Success,0,18.04779661016949,0,602,6.28.1,2025-02-09 N,18.04779661016949,44.52727118644068
10/02/2025 01:14,32.844100000000005,6.337,0,10/02/2025 01:15,1.1908999999999998,Success,0,15.589500000000001,0,603,6.28.1,2025-02-09 N,15.589500000000001,39.9904
10/02/2025 01:31,38.19085714285714,6.65,0,10/02/2025 01:35,1.9695555555555555,Success,0,16.694047619047616,0,604,6.28.1,2025-02-09 N,16.694047619047616,47.48187301587302
