rigSerial,startHoleTime,endHoleTime,currentShift,software,holeID,drilledMeters,penRate,overDrill,spatialInaccuracy,bitDiameter,GPS,posMode,anchorMode,collarMode,drillMode,activationMode,borderHoleFlag,status
RigNumber,02/02/2025 00:17,02/02/2025 00:23,2025-02-01 N,6.28.1,110,5.088014347,0.022483,0.34,0.051894122,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 00:26,02/02/2025 00:33,2025-02-01 N,6.28.1,111,5.350879554,0.019951,0.409,0.030413813,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 01:33,02/02/2025 01:45,2025-02-01 N,6.28.1,112,5.271221965,0.024341,0.337,0.067601775,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 01:56,02/02/2025 02:03,2025-02-01 N,6.28.1,113,5.591882867,0.020319,0.327,0.067186309,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 02:06,02/02/2025 02:13,2025-02-01 N,6.28.1,114,5.464748485,0.018686,0.317,0.022803509,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 02:23,02/02/2025 02:30,2025-02-01 N,6.28.1,115,5.373974879,0.018831,0.413,0.022561028,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 02:32,02/02/2025 02:39,2025-02-01 N,6.28.1,116,5.327751683,0.019328,0.311,0.071344236,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 02:42,02/02/2025 02:48,2025-02-01 N,6.28.1,117,5.305042413,0.022071,0.392,0.028017851,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 02:51,02/02/2025 02:58,2025-02-01 N,6.28.1,118,5.317151305,0.019586,0.346,0.01077033,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 03:00,02/02/2025 03:07,2025-02-01 N,6.28.1,119,5.410970431,0.020457,0.34,0.030083218,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 03:10,02/02/2025 03:16,2025-02-01 N,6.28.1,120,5.354995425,0.020369,0.335,0.034828149,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 03:20,02/02/2025 03:27,2025-02-01 N,6.28.1,121,5.40360426,0.02323,0.313,0.103247276,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 03:29,02/02/2025 03:36,2025-02-01 N,6.28.1,122,5.276461409,0.019554,0.325,0.043046487,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 03:39,02/02/2025 03:45,2025-02-01 N,6.28.1,123,5.150523469,0.020944,0.332,0.021213203,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 03:48,02/02/2025 04:00,2025-02-01 N,6.28.1,124,5.063730739,0.021548,0.339,0.03312099,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 04:02,02/02/2025 04:09,2025-02-01 N,6.28.1,125,5.158907636,0.021238,0.328,0.037947332,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 04:11,02/02/2025 04:18,2025-02-01 N,6.28.1,126,5.20493852,0.020262,0.318,0.070292247,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 04:23,02/02/2025 04:38,2025-02-01 N,6.28.1,127,5.32483211,0.019336,0.342,0.07824321,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 04:43,02/02/2025 04:49,2025-02-01 N,6.28.1,128,5.414923176,0.021086,0.34,0.071505244,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 04:52,02/02/2025 04:59,2025-02-01 N,6.28.1,129,5.2165433,0.018665,0.319,0.040024992,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 05:04,02/02/2025 05:10,2025-02-01 N,6.28.1,130,5.14011031,0.022172,0.378,0.031890438,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 05:13,02/02/2025 05:19,2025-02-01 N,6.28.1,131,5.101054989,0.021963,0.346,0.044283179,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 05:22,02/02/2025 05:28,2025-02-01 N,6.28.1,132,5.144808063,0.022088,0.333,0.032756679,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 05:30,02/02/2025 05:36,2025-02-01 N,6.28.1,133,5.231359097,0.035058,0.32,0.043011627,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 05:41,02/02/2025 05:47,2025-02-01 N,6.28.1,134,5.361986292,0.02241,0.352,0.016031219,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 05:53,02/02/2025 05:59,2025-02-01 N,6.28.1,135,5.411115412,0.025779,0.346,0.062369865,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 06:02,02/02/2025 06:09,2025-02-02 D,6.28.1,136,5.216660426,0.018193,0.307,0.03138471,165,1,None,None,None,1,None,0,Success
