AutoClean,BetweenADIA,AutoNavigationIsActive_C,ReducedFeedForceJacksNotOnGround,MoistureContentCollar,STB State E-Stop,EadJamRpmTimeout,EadLowRpmJamEscape_C,startCycleTime,EadVibrationJamEscape,AutoDrill_C,EadTorqueJamEscape_C,EvBitInGround,AvePercPressure,AutoDrillIsActive,DB_TORQUE_MAX,STB State Local Manual,STB State Remote Autonomous,BZ EndtoSetup,AvePenetrRate,EadJamLowFlushTimeout_C,AveDampPressure,AutoDelevel,penRate,AutoCleanInHole_Count,MaxNoOfJamExceededError,rigSerial,MoistureContentClean,STB State Remote Allocated,JamCount,AutoDrill2Enabled,EadJamRpmTimeout_C,status,AirFlowReturn,EadJamAirPressTimeout,EadAirPressureJamEscape_C,DelayInCycle,EadTorqueJamEscape,RemotePropelEStop2_Manual,AutoDrillIsActive_C,drilledMeters,activationMode,endHoleTime,Software,PropelState,BY HoleTime,EndHoleTimeInADPE,currentShift,endCycleTime,anchorMode,AutoLevel_C,Local,BetweenAD,GPS,DrillState,AutoCleanInHole,STB State Remote Switched,spatialInaccuracy,Jam,software,posMode,EadJamRotationTorqueTimeout,TotalCycleTime,Remote,AutoCollar,EadJamAirPressTimeout_C,bitDiameter,BX DrillToStart,EadLowPenrateJamEscape_C,EadJamVibrationTimeout_C,AutoLevel,Intervention,AveFlushPressure,ManualJacks,AutoDrill,AutoDelevel_C,AveFeedPressure,reDrillStatus,AutoNavigationIsActive,EadJamLowFlushTimeout,AutoRetract,Target_depth,ResetTargetDepth,RemotePropelEStop2_Remote,DB_TORQUE_SET,EadAirPressureJamEscape,EadJamVibrationTimeout,EadLowPenrateJamEscape,DB_RPM_MAX,InterventionCount,MaxNoOfJamExceededError_C,collarMode,ParkState,EadJamRotationTorqueTimeout_C,overDrill,EndHoleTimeInAutoDrill,BA BitToGround,SetupState,AveRotPressure,drillMode,EadVibrationJamEscape_C,startHoleTime,MoistureContentDrill,EadLowRpmJamEscape,borderHoleFlag
73,0,0,0,0,0,0,0,01/02/2025 04:45,0,1,0,0,15.568775510204082,0,0,0,488,39,1.9315714285714287,0,0,0,0.02683,2,0,0,0,0,0,0,0,Success,0,0,0,0,0,0,0,5.120463358,None,01/02/2025 04:52,6.28.1,0,328,0,2025-01-31 N,01/02/2025 04:53,None,0,0,428,1,0,63,0,0.047507894,0,6.28.1,None,0,488,488,222,0,165,5,0,0,0,0,15.568775510204082,0,54,0,39.61540816326531,0,0,0,26,0,0,0,0,0,0,0,0,0,0,None,0,0,0.34,0,0,0,36.47920408163265,1,0,01/02/2025 04:47,0,0,0
101,0,0,0,0,0,0,0,01/02/2025 04:53,0,1,0,0,15.445408163265308,0,0,0,834,39,2.029081632653061,0,0,0,0.010264,3,0,0,0,0,0,0,0,Success,0,0,0,0,0,0,0,5.205819148,None,01/02/2025 05:06,6.28.1,0,681,0,2025-01-31 N,01/02/2025 05:07,None,0,0,797,1,0,91,0,0.048083261,0,6.28.1,None,0,834,834,559,0,165,5,0,0,0,0,15.445408163265308,0,42,0,40.58740816326531,0,0,0,26,0,0,0,0,0,0,0,0,0,0,None,0,0,0.332,0,0,0,42.55151020408163,1,0,01/02/2025 04:55,0,0,0
76,0,0,0,0,0,0,0,01/02/2025 05:07,0,1,0,0,16.594117647058823,0,0,0,526,39,1.8158039215686272,0,0,0,0.023657,2,0,0,0,0,0,0,0,Success,0,0,0,0,0,0,0,5.296052964,None,01/02/2025 05:15,6.28.1,0,368,0,2025-01-31 N,01/02/2025 05:16,None,0,0,463,1,0,66,0,0.017804493,0,6.28.1,None,0,526,526,257,0,165,5,0,0,0,0,16.594117647058823,0,58,0,41.23249019607843,0,0,0,26,0,0,0,0,0,0,0,0,0,0,None,0,0,0.328,0,0,0,38.51964705882353,1,0,01/02/2025 05:09,0,0,0
47,0,0,0,0,0,0,0,01/02/2025 05:16,0,2,0,0,14.32939024390244,0,0,0,2051,38,1.506170731707317,0,0,0,0.02226,2,0,0,0,0,0,0,0,Fail,0,0,0,0,0,0,0,5.023490918,None,01/02/2025 05:49,6.28.1,0,1753,0,2025-01-31 N,01/02/2025 05:50,None,0,0,1999,0,0,37,0,0.044102154,0,6.28.1,None,0,2051,2051,1114,0,165,5,0,0,0,0,14.32939024390244,0,49,0,39.41439024390244,0,0,0,25,0,0,0,0,0,0,0,0,0,0,None,0,0,0.353,0,0,0,38.90551219512195,1,0,01/02/2025 05:20,0,0,0
72,0,0,0,0,0,0,0,01/02/2025 05:59,0,1,0,0,15.9553125,0,0,0,588,38,1.5065416666666664,0,0,0,0.02255,2,0,0,0,6,0,0,0,Success,0,0,0,0,0,0,0,5.00370113,None,01/02/2025 06:06,6.28.1,0,358,0,2025-02-01 D,01/02/2025 06:09,None,0,0,462,1,0,62,0,0.034234486,0,6.28.1,None,0,594,594,258,0,165,5,0,0,0,0,15.9553125,0,50,0,40.78997916666667,0,0,0,25,0,0,0,0,0,0,0,0,0,0,None,0,0,0.348,0,0,0,38.35,1,0,01/02/2025 06:00,0,0,0
72,0,0,0,0,0,0,0,01/02/2025 06:09,0,1,0,0,16.323125,0,0,0,1028,38,1.3444583333333335,0,0,0,0.020378,2,0,0,0,45,0,0,0,Success,0,0,0,0,0,0,0,5.048893839,None,01/02/2025 06:25,6.28.1,0,390,0,2025-02-01 D,01/02/2025 06:27,None,0,0,1096,1,0,62,0,0.01603122,0,6.28.1,None,0,1073,1073,281,0,165,5,0,0,0,0,16.323125,0,58,0,40.783541666666665,0,0,0,25,0,0,0,0,0,0,0,0,0,0,None,0,0,0.341,0,0,0,39.39554166666667,1,0,01/02/2025 06:19,0,0,0
76,0,0,0,0,0,0,0,01/02/2025 06:27,0,1,0,0,12.379090909090907,0,0,0,432,38,4.391272727272727,0,0,0,0.039475,2,0,0,0,0,0,0,0,Success,0,0,0,0,0,0,0,5.138391383,None,01/02/2025 06:33,6.28.1,0,274,0,2025-02-01 D,01/02/2025 06:34,None,0,0,421,1,0,65,0,0.002828427,0,6.28.1,None,0,432,432,209,0,165,5,0,0,0,0,12.379090909090907,0,13,0,38.25209090909091,0,0,0,26,0,0,0,0,0,0,0,0,0,0,None,0,0,0.352,0,0,0,40.22720454545455,1,0,01/02/2025 06:28,0,0,0
71,0,0,0,0,0,0,0,01/02/2025 06:34,0,1,0,0,16.8918,0,0,0,526,38,1.75856,0,0,0,0.024342,2,0,0,0,0,0,0,0,Success,0,0,0,0,0,0,0,5.203197959,None,01/02/2025 06:41,6.28.1,0,366,0,2025-02-01 D,01/02/2025 06:43,None,0,0,460,1,0,61,0,0.03106445,0,6.28.1,None,0,526,526,255,0,165,4,0,0,0,0,16.8918,0,60,0,40.993339999999996,0,0,0,26,0,0,0,0,0,0,0,0,0,0,None,0,0,0.329,0,0,0,38.24166,1,0,01/02/2025 06:35,0,0,0
72,0,0,0,0,0,0,0,01/02/2025 06:43,0,1,0,0,16.2546,0,0,0,730,38,1.18442,0,0,0,0.018338,2,0,0,0,0,0,0,0,Success,0,0,0,0,0,0,0,5.128538681,None,01/02/2025 06:53,6.28.1,0,426,0,2025-02-01 D,01/02/2025 06:55,None,0,0,651,1,0,62,0,0.103585713,0,6.28.1,None,0,730,730,295,0,165,5,0,0,0,0,16.2546,0,80,0,41.11794,0,0,0,26,0,0,0,0,0,0,0,0,0,0,None,0,0,0.343,0,0,0,39.564499999999995,1,0,01/02/2025 06:46,0,0,0
71,0,0,0,0,0,0,0,01/02/2025 06:55,0,1,0,0,16.5153125,0,0,0,545,38,1.4231458333333336,0,0,0,0.021399,2,0,0,0,0,0,0,0,Success,0,0,0,0,0,0,0,5.022652486,None,01/02/2025 07:03,6.28.1,0,376,0,2025-02-01 D,01/02/2025 07:04,None,0,0,494,1,0,61,0,0.050990195,0,6.28.1,None,0,545,545,274,0,165,5,0,0,0,0,16.5153125,0,53,0,41.150875,0,0,0,25,0,0,0,0,0,0,0,0,0,0,None,0,0,0.342,0,0,0,39.93441666666667,1,0,01/02/2025 06:56,0,0,0
