startHoleTime,endHoleTime,currentShift,software,holeID,avePenetrRate,avePercPressure,aveFeedPressure,aveDampPressure,aveRotPressure,aveFlushPressure
01/02/2025 02:31,01/02/2025 02:36,2025-01-31 N,6.28.1,14,1.6678780487804876,15.246585365853658,39.92590243902439,0,38.99529268292683,15.246585365853658
01/02/2025 02:42,01/02/2025 02:54,2025-01-31 N,6.28.1,15,1.976047619047619,12.72,39.52128571428572,0,43.791404761904765,12.72
01/02/2025 03:02,01/02/2025 03:04,2025-01-31 N,6.28.1,16,1.9426428571428571,12.649285714285714,40.070571428571434,0,40.89664285714286,12.649285714285714
01/02/2025 03:05,01/02/2025 03:09,2025-01-31 N,6.28.1,17,1.6867777777777777,16.919999999999998,40.58274074074074,0,40.89685185185185,16.919999999999998
01/02/2025 03:11,01/02/2025 03:17,2025-01-31 N,6.28.1,18,1.4844390243902439,15.406463414634146,40.68160975609756,0,40.736975609756094,15.406463414634146
01/02/2025 03:27,01/02/2025 03:38,2025-01-31 N,6.28.1,19,1.581720930232558,14.707674418604652,38.419000000000004,0,41.55025581395349,14.707674418604652
01/02/2025 03:52,01/02/2025 04:00,2025-01-31 N,6.28.1,20,1.5641818181818181,15.178977272727273,42.531727272727274,0,41.14315909090909,15.178977272727273
01/02/2025 04:04,01/02/2025 04:09,2025-01-31 N,6.28.1,21,1.7836818181818181,15.007840909090909,39.64675,0,41.465636363636364,15.007840909090909
01/02/2025 04:14,01/02/2025 04:21,2025-01-31 N,6.28.1,22,1.2519791666666666,16.8121875,40.5066875,0,41.336687500000004,16.8121875
01/02/2025 04:24,01/02/2025 04:29,2025-01-31 N,6.28.1,23,1.6709782608695651,16.157608695652176,40.657673913043475,0,40.20804347826087,16.157608695652176
01/02/2025 04:32,01/02/2025 04:43,2025-01-31 N,6.28.1,24,1.2362765957446809,15.604787234042552,40.928659574468085,0,41.60061702,15.604787234042552
01/02/2025 04:47,01/02/2025 04:52,2025-01-31 N,6.28.1,25,1.9315714285714287,15.568775510204082,39.61540816326531,0,36.47920408163265,15.568775510204082
01/02/2025 04:55,01/02/2025 05:05,2025-01-31 N,6.28.1,26,2.029081632653061,15.445408163265308,40.58740816326531,0,42.55151020408163,15.445408163265308
01/02/2025 05:09,01/02/2025 05:14,2025-01-31 N,6.28.1,27,1.8158039215686272,16.594117647058823,41.23249019607843,0,38.51964705882353,16.594117647058823
01/02/2025 05:20,01/02/2025 05:48,2025-01-31 N,6.28.1,28,1.506170731707317,14.32939024390244,39.41439024390244,0,38.90551219512195,14.32939024390244
01/02/2025 06:00,01/02/2025 06:06,2025-02-01 D,6.28.1,29,1.5065416666666664,15.9553125,40.78997916666667,0,38.35,15.9553125
01/02/2025 06:19,01/02/2025 06:25,2025-02-01 D,6.28.1,30,1.3444583333333335,16.323125,40.783541666666665,0,39.39554166666667,16.323125
01/02/2025 06:28,01/02/2025 06:32,2025-02-01 D,6.28.1,31,4.391272727272727,12.379090909090907,38.25209090909091,0,40.22720454545455,12.379090909090907
01/02/2025 06:35,01/02/2025 06:41,2025-02-01 D,6.28.1,32,1.75856,16.8918,40.993339999999996,0,38.24166,16.8918
01/02/2025 06:46,01/02/2025 06:53,2025-02-01 D,6.28.1,33,1.18442,16.2546,41.11794,0,39.564499999999995,16.2546
01/02/2025 06:56,01/02/2025 07:02,2025-02-01 D,6.28.1,34,1.4231458333333336,16.5153125,41.150875,0,39.93441666666667,16.5153125
01/02/2025 07:05,01/02/2025 07:08,2025-02-01 D,6.28.1,35,1.2708125,13.8984375,40.71375,0,40.83875,13.8984375
01/02/2025 07:16,01/02/2025 07:16,2025-02-01 D,6.28.1,36,1.7100000000000002,14.027142857142858,38.67214285714285,0,40.21628571428572,14.027142857142858
01/02/2025 07:24,01/02/2025 07:27,2025-02-01 D,6.28.1,37,1.48716,15.101400000000002,39.21476,0,45.357600000000005,15.101400000000002
01/02/2025 07:30,01/02/2025 08:00,2025-02-01 D,6.28.1,38,1.4190851063829788,15.472659574468086,40.49465957446809,0,39.570851063829785,15.472659574468086
01/02/2025 08:04,01/02/2025 08:10,2025-02-01 D,6.28.1,39,1.833469387755102,15.973163265306122,40.91704081632653,0,40.210408163265306,15.973163265306122
